%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%	
%	Nome: Jhordan Abdalla Arrojo Martinez	
%	Nome: Stevan Mosquetti Ribeiro
%				
%											Perfil de Compatibilidade de Belinda
%	
%		Base de dados de rede social para classificar o nível de compatbilidade entre usuários baseado nos atributos abaixo:
%
% ATRIBUTO: sexo 			(nominal). 	Femino,Masculino.
% ATRIBUTO: popularidade 	(nominal). 	Alta,Acima-da-Media,Media,Abaixo-da-Media,Baixa.
% ATRIBUTO: signo 			(nominal). 	Aries,Touro,Gemeos,Cancer,Leao,Virgem,Libra,Escorpiao,Sagitario,Capricornio,Aquario,Peixes.
% ATRIBUTO: etnia 			(nominal). 	Caucasiano,Afrodescendente,Pardo,Mulato,Asiatico.
% ATRIBUTO: corDosOlhos 	(nominal). 	Azul-Claro,Azul-Escuro,Azul-Medio,Verde-claro,Verde-Escuro,Verde-Medio,Castanho-Claro,Castanho-Medio,Castanho-Escuro,Preto.
% ATRIBUTO: corDoCabelo 	(nominal). 	Loiro-Claro,Loiro-Escuro,Loiro-Medio,Ruivo-claro,Ruivo-Escuro,Ruivo-Medio,Castanho-Claro,Castanho-Medio,Castanho-Escuro,Preto,Branco,Grisalho.
% ATRIBUTO: biotipo 		(nominal)	Endomorfo,Ectomorfo,Mesomorfo.
% ATRIBUTO:	tipoFisico 		(nominal)	Gordo,Magro,Atletico,Bombado,Raquitico,Obeso.
% ATRIBUTO: classe 			(classe) 	Compativel,Incompativel,Quase-Compativel,Quase-Incompativel.
%
% EXEMPLO: Ashton Kutcher
%			popularidade: Alta
%			signo: Aquario
%			etnia: Caucasiano
%			corDosOlhos: Castanho-Escuro
%			corDoCabelo: Castanho-Escuro
%			biotipo: Ectomorfo
%			tipoFisico: Atletico
%			classe: Compativel
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

@RELATION perfil

@ATTRIBUTE sexo 			{Femino,Masculino}
@ATTRIBUTE popularidade		{Alta,Acima-da-Media,Media,Abaixo-da-Media,Baixa}
@ATTRIBUTE signo 			{Aries,Touro,Gemeos,Cancer,Leao,Virgem,Libra,Escorpiao,Sagitario,Capricornio,Aquario,Peixes}
@ATTRIBUTE etnia 			{Caucasiano,Afrodescendente,Pardo,Mulato,Asiatico}
@ATTRIBUTE corDosOlhos 		{Azul-Claro,Azul-Escuro,Azul-Medio,Verde-claro,Verde-Escuro,Verde-Medio,Castanho-Claro,Castanho-Medio,Castanho-Escuro,Preto}
@ATTRIBUTE corDoCabelo 		{Loiro-Claro,Loiro-Escuro,Loiro-Medio,Ruivo-claro,Ruivo-Escuro,Ruivo-Medio,Castanho-Claro,Castanho-Medio,Castanho-Escuro,Preto,Branco,Grisalho}
@ATTRIBUTE biotipo 			{Endomorfo,Ectomorfo,Mesomorfo}
@ATTRIBUTE tipoFisico 		{Gordo,Magro,Atletico,Bombado,Raquitico,Obeso}
@ATTRIBUTE classe			{Compativel,Incompativel,Quase-Compativel,Quase-Incompativel}

@DATA
Masculino,Acima-da-Media,Capricornio,Pardo,Castanho-Escuro,Castanho-Medio,Endomorfo,Atletico,Quase-Compativel
Masculino,Abaixo-da-Media,Aries,Pardo,Verde-Escuro,Castanho-Medio,Mesomorfo,Raquitico,Incompativel
Femino,Media,Leao,Pardo,Verde-Escuro,Ruivo-Medio,Ectomorfo,Gordo,Incompativel
Masculino,Alta,Aquario,Mulato,Verde-claro,Castanho-Medio,Endomorfo,Gordo,Quase-Compativel
Femino,Media,Virgem,Caucasiano,Verde-Escuro,Ruivo-Medio,Ectomorfo,Obeso,Quase-Incompativel
Masculino,Media,Peixes,Asiatico,Preto,Grisalho,Endomorfo,Gordo,Incompativel
Masculino,Abaixo-da-Media,Capricornio,Caucasiano,Castanho-Claro,Loiro-Escuro,Mesomorfo,Raquitico,Quase-Incompativel
Femino,Media,Virgem,Afrodescendente,Verde-Escuro,Castanho-Medio,Mesomorfo,Magro,Incompativel
Femino,Abaixo-da-Media,Leao,Asiatico,Castanho-Escuro,Ruivo-Medio,Ectomorfo,Atletico,Incompativel
Masculino,Media,Capricornio,Caucasiano,Azul-Medio,Loiro-Claro,Endomorfo,Bombado,Quase-Compativel
Femino,Abaixo-da-Media,Cancer,Asiatico,Castanho-Medio,Castanho-Claro,Endomorfo,Raquitico,Quase-Incompativel
Masculino,Alta,Cancer,Pardo,Verde-Medio,Grisalho,Ectomorfo,Gordo,Incompativel
Femino,Acima-da-Media,Virgem,Asiatico,Castanho-Medio,Grisalho,Endomorfo,Bombado,Quase-Incompativel
Masculino,Baixa,Aquario,Mulato,Preto,Branco,Endomorfo,Bombado,Incompativel
Masculino,Baixa,Aries,Caucasiano,Preto,Ruivo-claro,Endomorfo,Raquitico,Quase-Incompativel
Femino,Media,Sagitario,Afrodescendente,Preto,Castanho-Claro,Endomorfo,Raquitico,Incompativel
Masculino,Baixa,Peixes,Mulato,Verde-claro,Castanho-Medio,Endomorfo,Bombado,Quase-Incompativel
Masculino,Acima-da-Media,Escorpiao,Asiatico,Castanho-Escuro,Castanho-Escuro,Mesomorfo,Bombado,Quase-Compativel
Femino,Baixa,Capricornio,Pardo,Verde-claro,Grisalho,Ectomorfo,Raquitico,Quase-Incompativel
Femino,Baixa,Touro,Caucasiano,Azul-Escuro,Loiro-Claro,Endomorfo,Magro,Incompativel
Masculino,Baixa,Leao,Pardo,Verde-claro,Castanho-Claro,Endomorfo,Obeso,Incompativel
Masculino,Alta,Leao,Afrodescendente,Castanho-Claro,Castanho-Claro,Ectomorfo,Obeso,Incompativel
Femino,Alta,Gemeos,Asiatico,Castanho-Escuro,Grisalho,Endomorfo,Atletico,Quase-Incompativel
Femino,Abaixo-da-Media,Peixes,Pardo,Preto,Castanho-Claro,Endomorfo,Raquitico,Quase-Incompativel
Masculino,Alta,Virgem,Asiatico,Castanho-Medio,Branco,Mesomorfo,Bombado,Compativel
Femino,Media,Gemeos,Caucasiano,Preto,Ruivo-Escuro,Mesomorfo,Raquitico,Quase-Incompativel
Femino,Acima-da-Media,Gemeos,Pardo,Verde-claro,Grisalho,Ectomorfo,Raquitico,Quase-Incompativel
Femino,Alta,Sagitario,Pardo,Verde-Escuro,Castanho-Escuro,Endomorfo,Magro,Incompativel
Femino,Media,Escorpiao,Caucasiano,Verde-claro,Preto,Endomorfo,Obeso,Incompativel
Femino,Media,Sagitario,Asiatico,Castanho-Escuro,Castanho-Medio,Ectomorfo,Gordo,Incompativel
