%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%	
%	Nome: Jhordan Abdalla Arrojo Martinez	
%	Nome: Stevan Mosquetti Ribeiro
%				
%											Perfil de Compatibilidade de Belinda
%	
%		Base de dados de rede social para classificar o nível de compatbilidade entre usuários baseado nos atributos abaixo:
%
% ATRIBUTO: sexo 			(nominal). 	Femino,Masculino.
% ATRIBUTO: popularidade 	(nominal). 	Alta,Acima-da-Media,Media,Abaixo-da-Media,Baixa.
% ATRIBUTO: signo 			(nominal). 	Aries,Touro,Gemeos,Cancer,Leao,Virgem,Libra,Escorpiao,Sagitario,Capricornio,Aquario,Peixes.
% ATRIBUTO: etnia 			(nominal). 	Caucasiano,Afrodescendente,Pardo,Mulato,Asiatico.
% ATRIBUTO: corDosOlhos 	(nominal). 	Azul-Claro,Azul-Escuro,Azul-Medio,Verde-claro,Verde-Escuro,Verde-Medio,Castanho-Claro,Castanho-Medio,Castanho-Escuro,Preto.
% ATRIBUTO: corDoCabelo 	(nominal). 	Loiro-Claro,Loiro-Escuro,Loiro-Medio,Ruivo-claro,Ruivo-Escuro,Ruivo-Medio,Castanho-Claro,Castanho-Medio,Castanho-Escuro,Preto,Branco,Grisalho.
% ATRIBUTO: biotipo 		(nominal)	Endomorfo,Ectomorfo,Mesomorfo.
% ATRIBUTO:	tipoFisico 		(nominal)	Gordo,Magro,Atletico,Bombado,Raquitico,Obeso.
% ATRIBUTO: classe 			(classe) 	Compativel,Incompativel,Quase-Compativel,Quase-Incompativel.
%
% EXEMPLO: Ashton Kutcher
%			popularidade: Alta
%			signo: Aquario
%			etnia: Caucasiano
%			corDosOlhos: Castanho-Escuro
%			corDoCabelo: Castanho-Escuro
%			biotipo: Ectomorfo
%			tipoFisico: Atletico
%			classe: Compativel
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

@RELATION perfil

@ATTRIBUTE sexo 			{Femino,Masculino}
@ATTRIBUTE popularidade		{Alta,Acima-da-Media,Media,Abaixo-da-Media,Baixa}
@ATTRIBUTE signo 			{Aries,Touro,Gemeos,Cancer,Leao,Virgem,Libra,Escorpiao,Sagitario,Capricornio,Aquario,Peixes}
@ATTRIBUTE etnia 			{Caucasiano,Afrodescendente,Pardo,Mulato,Asiatico}
@ATTRIBUTE corDosOlhos 		{Azul-Claro,Azul-Escuro,Azul-Medio,Verde-claro,Verde-Escuro,Verde-Medio,Castanho-Claro,Castanho-Medio,Castanho-Escuro,Preto}
@ATTRIBUTE corDoCabelo 		{Loiro-Claro,Loiro-Escuro,Loiro-Medio,Ruivo-claro,Ruivo-Escuro,Ruivo-Medio,Castanho-Claro,Castanho-Medio,Castanho-Escuro,Preto,Branco,Grisalho}
@ATTRIBUTE biotipo 			{Endomorfo,Ectomorfo,Mesomorfo}
@ATTRIBUTE tipoFisico 		{Gordo,Magro,Atletico,Bombado,Raquitico,Obeso}
@ATTRIBUTE classe			{Compativel,Incompativel,Quase-Compativel,Quase-Incompativel}

@DATA
Femino,Alta,Libra,Afrodescendente,Preto,Grisalho,Endomorfo,Bombado,Quase-Incompativel
Femino,Abaixo-da-Media,Virgem,Pardo,Verde-claro,Preto,Mesomorfo,Gordo,Quase-Incompativel
Masculino,Baixa,Aquario,Asiatico,Preto,Castanho-Escuro,Endomorfo,Raquitico,Quase-Incompativel
Masculino,Baixa,Touro,Pardo,Castanho-Medio,Branco,Mesomorfo,Bombado,Compativel
Masculino,Abaixo-da-Media,Escorpiao,Asiatico,Preto,Castanho-Escuro,Mesomorfo,Gordo,Quase-Compativel
Masculino,Baixa,Aries,Asiatico,Castanho-Medio,Castanho-Escuro,Endomorfo,Bombado,Incompativel
Masculino,Media,Libra,Caucasiano,Azul-Claro,Castanho-Claro,Mesomorfo,Raquitico,Quase-Compativel
Femino,Acima-da-Media,Gemeos,Afrodescendente,Verde-Escuro,Castanho-Escuro,Endomorfo,Bombado,Quase-Incompativel
Masculino,Baixa,Cancer,Afrodescendente,Verde-claro,Castanho-Escuro,Mesomorfo,Atletico,Incompativel
Femino,Abaixo-da-Media,Libra,Mulato,Verde-claro,Grisalho,Endomorfo,Obeso,Incompativel
Masculino,Media,Libra,Pardo,Castanho-Escuro,Ruivo-Medio,Mesomorfo,Raquitico,Compativel
Masculino,Baixa,Escorpiao,Mulato,Castanho-Medio,Preto,Ectomorfo,Atletico,Incompativel
Masculino,Acima-da-Media,Aries,Pardo,Verde-Medio,Grisalho,Ectomorfo,Raquitico,Incompativel
Masculino,Alta,Aquario,Pardo,Verde-claro,Castanho-Escuro,Endomorfo,Gordo,Quase-Compativel
Masculino,Acima-da-Media,Aries,Asiatico,Castanho-Medio,Ruivo-Medio,Endomorfo,Obeso,Incompativel
Masculino,Abaixo-da-Media,Aquario,Asiatico,Castanho-Claro,Castanho-Claro,Endomorfo,Raquitico,Quase-Incompativel
Masculino,Abaixo-da-Media,Virgem,Asiatico,Castanho-Medio,Grisalho,Endomorfo,Gordo,Quase-Incompativel
Masculino,Acima-da-Media,Cancer,Mulato,Castanho-Escuro,Ruivo-Medio,Mesomorfo,Atletico,Quase-Incompativel
Femino,Abaixo-da-Media,Leao,Pardo,Castanho-Medio,Ruivo-Medio,Endomorfo,Gordo,Incompativel
Masculino,Abaixo-da-Media,Capricornio,Caucasiano,Castanho-Medio,Castanho-Claro,Mesomorfo,Atletico,Quase-Incompativel
Femino,Media,Virgem,Asiatico,Castanho-Escuro,Castanho-Medio,Ectomorfo,Gordo,Incompativel
Masculino,Acima-da-Media,Leao,Afrodescendente,Verde-claro,Ruivo-Medio,Endomorfo,Atletico,Compativel
Femino,Media,Leao,Pardo,Castanho-Escuro,Castanho-Medio,Mesomorfo,Magro,Incompativel
Masculino,Media,Sagitario,Caucasiano,Azul-Medio,Castanho-Medio,Mesomorfo,Obeso,Incompativel
Masculino,Acima-da-Media,Peixes,Mulato,Verde-claro,Grisalho,Mesomorfo,Magro,Compativel
Femino,Acima-da-Media,Leao,Pardo,Castanho-Escuro,Branco,Ectomorfo,Magro,Quase-Incompativel
Masculino,Baixa,Libra,Caucasiano,Castanho-Claro,Castanho-Medio,Mesomorfo,Gordo,Quase-Incompativel
Masculino,Alta,Aquario,Asiatico,Castanho-Medio,Castanho-Claro,Ectomorfo,Atletico,Incompativel
Femino,Alta,Aries,Afrodescendente,Verde-Medio,Castanho-Medio,Mesomorfo,Atletico,Incompativel
