%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%		
%	Nome: Jhordan Abdalla Arrojo Martinez
%	Nome: Stevan Mosquetti Ribeiro
%							
%											24 Horas de Le Mans
%											(24 Heures du Mans)
%
%
%	Base de dados com registros de veículos da competição. Em Le Mans todos os veículos correm ao mesmo tempo mas só competem por colocações dentro de suas respectivas classes, estas são:
%
%	°LMP1: Le Mans Prototype 1; 
%	°LMP2: Le Mans Prototype 2; 
%	°LM_GTE_Pro: Le Mans Grand Touring Endurance Professional; 
%	°LM_GTE_Am: Le Mans Grand Touring Endurance Amateur.
%
%
% ATRIBUTO: velocidade (contínuo, REAL). Define a velocidade máxima (mph) do veículo (maior = melhor).
% ATRIBUTO: peso (contínuo, REAL). Define o peso do veículo (influência na dirigibilidade e aceleração, maior = pior).
% ATRIBUTO: potencia (contínuo, REAL). Define a força do motor em cavalos de potência (influencia na velocidade e aceleração, maior = melhor).
% ATRIBUTO:	idade (contínuo, REAL). Define por quantos anos o modelo do veículo está em produção (competidores da categoria LM_GTE_Am não podem correr com veículos de modelo mais novo que 1 ano). 
% ATRIBUTO: categoria (classe) LMP1, LMP2, LM_GTE_Pro, LM_GTE_Am. Define a categoria em que o veículo estará competindo.
%
% EXEMPLO: Aston Martin Vantage GT2
%			velocidade: 200
%			peso: 1245 
%			potencia: 500
%			idade: 0
%			categoria: LM_GTE_Pro
%
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

@RELATION lemans

@ATTRIBUTE velocidade			REAL					
@ATTRIBUTE peso					REAL				
@ATTRIBUTE potencia				REAL	
@ATTRIBUTE idade				REAL	
@ATTRIBUTE categoria			{LMP1,LMP2,LM_GTE_Pro,LM_GTE_Am}					

@DATA
194,1256,466,1,LM_GTE_Pro
205,920,564,0,LMP2
213,911,490,0,LMP2
209,903,482,0,LMP2
211,919,552,0,LMP2
209,944,529,0,LMP2
194,1252,466,0,LM_GTE_Pro
219,895,1101,0,LMP1
202,950,550,0,LMP2
195,1247,485,0,LM_GTE_Pro
217,948,985,0,LMP1
215,883,1221,0,LMP1
191,1225,466,0,LM_GTE_Pro
204,993,529,0,LMP2
192,1219,541,1,LM_GTE_Pro
220,863,1211,0,LMP1
199,1234,463,1,LM_GTE_Pro
195,1222,533,1,LM_GTE_Am
192,1229,495,0,LM_GTE_Pro
201,919,554,0,LMP2
198,1234,465,0,LM_GTE_Pro
212,919,529,0,LMP2
215,905,1107,0,LMP1
203,928,501,0,LMP2
206,912,515,0,LMP2
205,959,532,0,LMP2
192,1264,548,0,LM_GTE_Pro
194,1222,468,1,LM_GTE_Pro
197,1271,475,0,LM_GTE_Pro
212,937,486,0,LMP2
201,996,538,0,LMP2
204,903,537,0,LMP2
193,1250,518,0,LM_GTE_Pro
199,1254,481,0,LM_GTE_Pro
196,1260,551,1,LM_GTE_Pro
207,904,567,0,LMP2
194,1204,491,0,LM_GTE_Pro
193,1265,524,0,LM_GTE_Pro
197,1277,476,0,LM_GTE_Pro
190,1239,492,0,LM_GTE_Pro
210,921,515,0,LMP2
208,967,524,0,LMP2
192,1221,530,1,LM_GTE_Pro
210,906,539,0,LMP2
192,1280,482,0,LM_GTE_Pro
191,1244,531,0,LM_GTE_Pro
204,997,534,0,LMP2
207,969,539,0,LMP2
214,954,492,0,LMP2
197,1274,498,0,LM_GTE_Pro
205,947,534,0,LMP2
215,850,1235,0,LMP1
196,1277,539,0,LM_GTE_Pro
215,949,1220,0,LMP1
206,995,534,0,LMP2
190,1275,486,1,LM_GTE_Pro
214,998,500,0,LMP2
206,910,536,0,LMP2
216,942,1015,0,LMP1
200,957,513,0,LMP2
205,929,537,0,LMP2
210,982,526,0,LMP2
220,909,1096,0,LMP1
206,961,486,0,LMP2
196,1248,499,1,LM_GTE_Pro
195,1200,511,0,LM_GTE_Pro
191,1204,542,0,LM_GTE_Pro
190,1207,516,0,LM_GTE_Pro
193,1214,475,1,LM_GTE_Pro
