%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%		
%	Nome: Jhordan Abdalla Arrojo Martinez
%	Nome: Stevan Mosquetti Ribeiro
%							
%											24 Horas de Le Mans
%											(24 Heures du Mans)
%
%
%	Base de dados com registros de veículos da competição. Em Le Mans todos os veículos correm ao mesmo tempo mas só competem por colocações dentro de suas respectivas classes, estas são:
%
%	°LMP1: Le Mans Prototype 1; 
%	°LMP2: Le Mans Prototype 2; 
%	°LM_GTE_Pro: Le Mans Grand Touring Endurance Professional; 
%	°LM_GTE_Am: Le Mans Grand Touring Endurance Amateur.
%
%
% ATRIBUTO: velocidade (contínuo, REAL). Define a velocidade máxima (mph) do veículo (maior = melhor).
% ATRIBUTO: peso (contínuo, REAL). Define o peso do veículo (influência na dirigibilidade e aceleração, maior = pior).
% ATRIBUTO: potencia (contínuo, REAL). Define a força do motor em cavalos de potência (influencia na velocidade e aceleração, maior = melhor).
% ATRIBUTO:	idade (contínuo, REAL). Define por quantos anos o modelo do veículo está em produção (competidores da categoria LM_GTE_Am não podem correr com veículos de modelo mais novo que 1 ano). 
% ATRIBUTO: categoria (classe) LMP1, LMP2, LM_GTE_Pro, LM_GTE_Am. Define a categoria em que o veículo estará competindo.
%
% EXEMPLO: Aston Martin Vantage GT2
%			velocidade: 200
%			peso: 1245 
%			potencia: 500
%			idade: 0
%			categoria: LM_GTE_Pro
%
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

@RELATION lemans

@ATTRIBUTE velocidade			REAL					
@ATTRIBUTE peso					REAL				
@ATTRIBUTE potencia				REAL	
@ATTRIBUTE idade				REAL	
@ATTRIBUTE categoria			{LMP1,LMP2,LM_GTE_Pro,LM_GTE_Am}					

@DATA
220,870,1000,0,LMP1
218,850,980,0,LMP1
218,850,1250,0,LMP1
217,930,919,0,LMP1
212,900,570,0,LMP2
208,900,560,0,LMP2
198,1245,500,0,LM_GTE_Pro
200,1245,491,0,LM_GTE_Pro
199,1245,500,0,LM_GTE_Pro
196,1200,450,0,LM_GTE_Pro
195,1220,563,0,LM_GTE_Pro
198,1245,500,1,LM_GTE_Am
202,1245,491,1,LM_GTE_Am
200,1245,500,1,LM_GTE_Am
196,1200,450,1,LM_GTE_Am
195,1220,563,1,LM_GTE_Am
215,914,1202,0,LMP1
216,923,1154,0,LMP1
215,892,1244,0,LMP1
209,959,516,0,LMP2
193,1262,508,0,LM_GTE_Pro
216,936,1167,0,LMP1
216,916,1058,0,LMP1
206,916,535,0,LMP2
201,977,485,0,LMP2
195,1252,488,1,LM_GTE_Pro
210,985,560,0,LMP2
196,1203,531,1,LM_GTE_Pro
219,923,1088,0,LMP1
195,1267,467,1,LM_GTE_Pro
200,990,489,0,LMP2
209,917,544,0,LMP2
191,1242,455,1,LM_GTE_Pro
215,930,1078,0,LMP1
204,942,516,0,LMP2
207,961,495,0,LMP2
202,919,511,0,LMP2
195,1205,469,1,LM_GTE_Pro
192,1224,547,1,LM_GTE_Pro
199,1221,497,1,LM_GTE_Pro
214,982,517,0,LMP2
204,982,521,0,LMP2
199,1245,470,1,LM_GTE_Pro
220,875,1100,0,LMP1
215,909,1154,0,LMP1
201,901,487,0,LMP2
197,1236,459,0,LM_GTE_Pro
206,965,566,0,LMP2
202,986,515,0,LMP2
191,1244,561,1,LM_GTE_Pro
220,883,1241,0,LMP1
214,963,525,0,LMP2
194,1266,509,1,LM_GTE_Pro
201,983,550,0,LMP2
214,918,561,0,LMP2
205,988,551,0,LMP2
198,1236,485,0,LM_GTE_Pro
212,925,504,0,LMP2
220,895,983,0,LMP1
207,957,489,0,LMP2
204,982,518,0,LMP2
218,913,999,0,LMP1
214,962,541,0,LMP2
207,940,532,0,LMP2
205,917,487,0,LMP2
196,1264,551,0,LM_GTE_Pro
200,941,548,0,LMP2
195,1239,472,0,LM_GTE_Pro
200,959,535,0,LMP2
201,910,523,0,LMP2
199,1274,544,1,LM_GTE_Pro
199,1211,461,1,LM_GTE_Pro
200,989,527,0,LMP2
191,1209,472,1,LM_GTE_Pro
193,1242,562,0,LM_GTE_Pro
219,947,995,0,LMP1
191,1278,532,1,LM_GTE_Pro
200,921,528,0,LMP2
219,871,1246,0,LMP1
210,951,538,0,LMP2
193,1261,453,0,LM_GTE_Pro
214,981,509,0,LMP2
207,984,526,0,LMP2
193,1279,532,1,LM_GTE_Pro
219,887,1067,0,LMP1
198,1244,530,1,LM_GTE_Pro
200,983,482,0,LMP2
200,955,547,0,LMP2
192,1258,513,1,LM_GTE_Pro
190,1273,461,1,LM_GTE_Pro
209,955,518,0,LMP2
202,961,521,0,LMP2
195,1246,475,0,LM_GTE_Pro
191,1264,486,1,LM_GTE_Pro
215,911,1201,0,LMP1
215,950,1048,0,LMP1
197,1208,524,1,LM_GTE_Pro
198,1227,479,0,LM_GTE_Pro
207,905,546,0,LMP2
205,944,547,0,LMP2
197,1219,563,0,LM_GTE_Pro
201,907,516,0,LMP2
212,975,536,0,LMP2
214,920,498,0,LMP2
216,868,1024,0,LMP1
194,1245,462,0,LM_GTE_Pro
205,937,518,0,LMP2
200,964,544,0,LMP2
215,892,1147,0,LMP1
203,923,480,0,LMP2
190,1268,474,0,LM_GTE_Pro
200,999,565,0,LMP2
198,1226,487,1,LM_GTE_Pro
202,992,535,0,LMP2
191,1256,533,1,LM_GTE_Pro
212,927,543,0,LMP2
194,1250,541,1,LM_GTE_Pro
217,858,1101,0,LMP1
197,1247,529,1,LM_GTE_Pro
197,1268,528,0,LM_GTE_Pro
219,887,1119,0,LMP1
207,959,548,0,LMP2
209,972,505,0,LMP2
203,926,555,0,LMP2
220,942,1186,0,LMP1
196,1254,516,1,LM_GTE_Pro
200,950,518,0,LMP2
195,1273,476,0,LM_GTE_Pro
191,1228,547,1,LM_GTE_Pro
216,945,1010,0,LMP1
210,904,482,0,LMP2
200,924,527,0,LMP2
199,1215,495,0,LM_GTE_Pro
206,908,511,0,LMP2
193,1205,561,0,LM_GTE_Pro
212,911,560,0,LMP2
201,954,514,0,LMP2
206,904,506,0,LMP2
208,956,553,0,LMP2
193,1251,512,0,LM_GTE_Pro
206,935,489,0,LMP2
209,940,521,0,LMP2
193,1218,558,0,LM_GTE_Pro
218,930,1198,0,LMP1
215,920,1207,0,LMP1
212,999,534,0,LMP2
219,898,1180,0,LMP1
200,950,527,0,LMP2
194,1202,525,1,LM_GTE_Pro
205,950,541,0,LMP2
198,1223,559,1,LM_GTE_Pro
203,989,569,0,LMP2
197,1238,521,1,LM_GTE_Pro
207,999,480,0,LMP2
200,912,502,0,LMP2
219,930,1117,0,LMP1
204,918,512,0,LMP2
219,912,1165,0,LMP1
201,955,526,0,LMP2
214,948,515,0,LMP2
202,928,559,0,LMP2
190,1202,544,0,LM_GTE_Pro
197,1261,467,0,LM_GTE_Pro
212,996,532,0,LMP2
203,992,559,0,LMP2
193,1272,462,1,LM_GTE_Pro
204,971,568,0,LMP2
206,941,516,0,LMP2
198,1250,520,0,LM_GTE_Pro
210,990,487,0,LMP2
216,888,1146,0,LMP1
209,964,496,0,LMP2
203,910,484,0,LMP2
217,854,1221,0,LMP1
199,1227,494,0,LM_GTE_Pro
216,889,992,0,LMP1
220,906,1231,0,LMP1
208,956,504,0,LMP2
208,941,485,0,LMP2
214,930,557,0,LMP2
206,950,516,0,LMP2
215,896,1111,0,LMP1
202,947,509,0,LMP2
210,995,510,0,LMP2
214,938,537,0,LMP2
195,1270,462,0,LM_GTE_Pro
196,1268,476,0,LM_GTE_Pro
197,1235,550,1,LM_GTE_Pro
216,938,1244,0,LMP1
213,906,531,0,LMP2
219,919,1114,0,LMP1
201,973,568,0,LMP2
211,933,546,0,LMP2
200,972,521,0,LMP2
212,909,538,0,LMP2
202,926,480,0,LMP2
200,971,567,0,LMP2
206,918,560,0,LMP2
195,1235,559,0,LM_GTE_Pro
217,883,1095,0,LMP1
213,995,529,0,LMP2
190,1267,541,0,LM_GTE_Pro
197,1202,550,0,LM_GTE_Pro
190,1206,458,1,LM_GTE_Pro
218,862,1042,0,LMP1
210,918,508,0,LMP2
190,1202,473,0,LM_GTE_Pro
211,993,529,0,LMP2
203,929,560,0,LMP2
202,946,550,0,LMP2
190,1274,543,0,LM_GTE_Pro
214,900,506,0,LMP2
195,1268,515,0,LM_GTE_Pro
218,900,1048,0,LMP1
198,1271,474,0,LM_GTE_Pro
204,937,529,0,LMP2
192,1215,505,1,LM_GTE_Pro
210,947,498,0,LMP2
213,971,490,0,LMP2
192,1225,463,1,LM_GTE_Pro
198,1225,541,0,LM_GTE_Pro
208,972,515,0,LMP2
193,1241,490,1,LM_GTE_Pro
191,1261,549,1,LM_GTE_Pro
194,1275,543,0,LM_GTE_Pro
200,976,561,0,LMP2
205,950,491,0,LMP2
209,950,513,0,LMP2
217,869,1103,0,LMP1
219,945,1040,0,LMP1
192,1221,453,1,LM_GTE_Pro
190,1271,538,1,LM_GTE_Pro
214,985,534,0,LMP2
215,869,1015,0,LMP1
196,1204,530,1,LM_GTE_Pro
203,917,548,0,LMP2
214,900,518,0,LMP2
190,1212,507,1,LM_GTE_Pro
